Groningen, Nederland	Hachmia(37) is luie man zat en wil nu hard geneukt worden Hallo schatjes  ik ben een romantische geile arabi https://t.co/ATUB6UeK7K #seks
Groningen, Nederland	Vrouw van 42 met nog mooie rondingen Hallo daar, mijn naam is Anneke, ik ben 42 jaar oud en ik kom uit Limbur https://t.co/PkFvVvoMgC #seks
Groningen, Nederland	Inge is sinds net weer vrijgezel Hallooo! Ik ben Inge en ik ben sinds net weer vrijgezel geworden en ik heb n https://t.co/YEQy3osfuP #seks
Groningen, Nederland	Hallo, ben net wakker
Groningen, Nederland	Heb jij interesse in een rijpe dame uit Brabant? Hallo leuke man, leuk dat je me profiel aan het lezen bent! https://t.co/UJLiQwYfQW #seks
Groningen, Nederland	Meid van 19 wil jou lollie likken Hallo, Ik ben Sandra en ik woon in Limburg, vind je me leuk en wil je eens https://t.co/6gLBNwX8D0 #seks
Groningen	@MarcoSmitEBG Hallo Marco, zou ik je 06 nummer even mogen in een DM? ik wil je wat vragen. Zou mooi zijn!
Groningen	Hallo #juni! Daar ben je weer. Een nieuw maand betekend nieuwe groenten en fruit! Wat eet… https://t.co/HWoaFzWPSj
Groningen	@VanVeenOfficial Hallo Herman, Waar treedt u op 5 en 6 mei? Hoorde dat ik heen ging, maar weet nog niet waar :D
Netherlands, Groningen	@ingnl Hallo Tianne. Dat lukt niet omdat het gaat om een door mij opgeheven rekening. Ik kan niet in de community komen.
Groningen, Nederland	Alleenstaande vrouw van 43 zoekt man Hallo allemaal, mijn naam is Lucile en ik ben een alleenstaande vrouw me https://t.co/yzGTuog0Av #seks
Groningen, Nederland	Geen rare of vieze dingen, gewoon lekkere sex Hallo, mijn naam is Karin, ik ben 45 jaar oud en ik kom uit de https://t.co/hOGzRmMsCS #seks
Groningen, Nederland	Blondine van 26 zoekt gratis seks in Utrecht Hallo daar, ik ben een 26 jaar jonge vrouw uit de stad Utrecht e https://t.co/nSPIjACnWb #seks
Groningen	Hallo @DoloresLeeuwin mijn kids van 9&amp;11 snappen niks van jullie vertrek bij sklaasjournaal en de pieten discussie. Kun jij ze uitleg geven?
Groningen, Nederland	Ik zoek een jongen die weet wat die wil Hallo Allemaal! ik ben een super lieve en ook een hele spontane meid https://t.co/Dkos8YFs8T #seks
Groningen/Hoogkerk 	Hallo allemaal,\n\nVanavond om kwart voor 9 morgen de mannen weer spelen vrijdag ben ik helemaal vergeten de... https://t.co/AM9uUPE2cJ
