Groningen	Vakantie, lekker dichtbij!  https://t.co/4amoi2fTUb
Groningen, Hoogkerk	Essent stopt medio 2017 als hoofdsponsor FC #Groningen https://t.co/ikmoi2QXl2
Groningen, Nederland	@ITryToDoVlogs ye het was na Winsum en iedereen ging naar de trein behalve moi :p
Groningen	@martijn_vdmeer top, stond gewoon  op laatste stukje,top dus,volgende keer moi zeggen
Veendam(Groningen)	slapen moi✌
Groningen	@Gradjuh moi ja, wat was het mooi
Groningen, Nederland	#NowPlaying One Night Stand van B-Brave #BBRAVESQUAD @BBraveOfficial We moeten ook emoijs van jullie krijgen 💓💓💓… https://t.co/XIxKu17GXl
GroningenRockCity, Netherlands, 	Ik zal niet ontkennen dat mijn Emoij hart❤️ hier sneller van gaat kloppen ~&gt; https://t.co/X0jBEUNxpU 🍻
Groningen Holland	@petermeeuwsen Had zo'n vermoeden, zag Duitse shows. Zangstijl is verder net zu viel pour moi.
Groningen	@moigimy maar de grote vraag is nu; is dat een kat of een foto van een kat
Groningen	@moigimy wauw wt een slechte crisisdienst! Ik werd echt meteen geholpen, mocht meteen komen ook ipv 474893 maanden wachttijd bij ggz
Groningen, Nederland	En mijn Nederlands is vandaag ook niet meer wat het zijn moet. Ik ga douchen en een boek lezen, moiiiiii.
Groningen	RT @hansdamen: Die nieuwe ambtenaar kómt er. Waarom @ambtenaar20 relevant is en blijft. Met @mlborsje, @davied et moi @ibestuur https://t.c…
Groningen	‘moi, ja most eens luustern, ik heb ’n olle doamesfiets in schuure stoan’ Geweldig dit! https://t.co/OnuOj85phg
Netherlands (Groningen)	@devosmoira Ik ben voor Spanje omdat er Barca spelers in zitten
Netherlands (Groningen)	@devosmoira Komt wel goed
Groningen, The Netherlands	Joe! Het toffe zomerboek van @mamaenfamily ligt in de winkel. Avec moi ;). https://t.co/MWXqM8r5MB
Groningen	@ritzotencate @gideondk en moi (alleen ligt de site down Gideon!!!)
Groningen	RT @TessavandenHaak: Wie weet een leuke fotograaf voor een paar (if possible) goede foto's van moi voor een aardige prijs? #fotograaf #stri…
Groningen, Nederland	RT @Melusine030: C’est moi, wen er maar aan https://t.co/msOlL077nH via @degroene
Groningen 	Hartelijk weltrusten mensen van #Lola&amp;Piebe et moi! Morgen de langste dag van het jaar en we hopen op  @DeZomer_ ☀️ https://t.co/6q5t8iHY5N
Groningen Netherlands	@hpubbens @bbenjamins Hoeveel echte #moibliteitsambtenaren hebben we op de #loonlijst? In plaats van geparachuteerde #projectontwikkleaars?
Groningen, The Netherlands	Tamoil eerste oliemaatschappij in Nederland die groene stroom produceert: Tamoil Nederland gaat gro... https://t.co/ySl1aKeJwD #duurzaam
Groningen	Provincies willen honderden miljoenen extra voor krimpregio's https://t.co/UUojJmoizb #groningen
Groningen, The Netherlands	Groningen heeft je nodig :). Check de visie op het Groningen van 2030 en denk vooral mee. Avec column de moi: https://t.co/CvLoxlZtJb
Groningen, Nederland	RT @M_nke: Groningen heeft je nodig :). Check de visie op het Groningen van 2030 en denk vooral mee. Avec column de moi: https://t.co/CvLox…
Groningen	RT @JongeHistorici: Hadewijch Zwart fileert vandaag memoires van oorlogsmisdadiger Harm Bouman: https://t.co/hU5GJqGza8 @StichtingOVCG http…
Haren, Groningen	@wiersmarichard Dank je wel voor je mmoie bericht graag tot ziens.
Groningen	Ben jij morgen aanwezig⁉️ #clubkokomoinvites #giocatori #clubnight #futuretrap #futurehouse… https://t.co/Ow5JyWGK3d
Groningen, Nederland	@psychocollleen je moet daar gewoon heen gaan, moi ik ben mara ik heb snel geld nodig
Groningen	Ogo: groen gas voor auto's van Essent en Tamoil: Energiebedrijf Essent en tankstationexploitant Tamoil lancer... https://t.co/jEz5MKcXrm
Groningen	RT @Reazun: Samen met de bazen @mrmemoir &amp; @dricoligthart plus een hele set aan homey's &amp; Fam hebben we een… https://t.co/gurDYIqWnz
Groningen	Essent en Tamoil lanceren OGO CNG voor duurzaam rijden: Tamoil en Essent lanceren OGO CNG. Essent levert groe... https://t.co/pbwXD7S5Am
Groningen	RT @101barz: Afkomstig van zijn album 'The Turn' brengt @MrMemoir vandaag de clip 'Rudebwoy Revolution' uit met o.a. @Reazun. https://t.co/…
Groningen	RT @101barz: Samen met @Reazun en Drico  brengt  @MrMemoir de nieuwe clip 'Rudebwoy Revolution' uit.  https://t.co/8erO5PkQXd
